N1,N2,OPERADOR
6010000000,6010042999,COMUNICACION CELULAR S.A.
6010043000,6010089899,COMUNICACION CELULAR S.A.
6010089900,6010089999,COMUNICACION CELULAR S.A.
6010090000,6010109999,COMUNICACION CELULAR S.A.
6010110000,6010149999,COMUNICACION CELULAR S.A.
6010150000,6010159999,COMUNICACION CELULAR S.A.
6010160000,6010164999,COMUNICACION CELULAR S.A.
6010165000,6010166999,COMUNICACION CELULAR S.A.
6010167000,6010179999,COMUNICACION CELULAR S.A.
6010180000,6010189999,COMUNICACION CELULAR S.A.
6010190000,6010190999,COMUNICACION CELULAR S.A.
6010191000,6010193999,COMUNICACION CELULAR S.A.
6010194000,6010195999,COMUNICACION CELULAR S.A.
6010196000,6010196999,COMUNICACION CELULAR S.A.
6010197000,6010209999,COMUNICACION CELULAR S.A.
6010210000,6010299999,COMUNICACION CELULAR S.A.
6010300000,6010309999,COMUNICACION CELULAR S.A.
6010310000,6010319999,COMUNICACION CELULAR S.A.
6010320000,6010339999,COMUNICACION CELULAR S.A.
6010340000,6010343999,COMUNICACION CELULAR S.A.
6010344000,6010344999,COMUNICACION CELULAR S.A.
6010345000,6010359999,COMUNICACION CELULAR S.A.
6010360000,6010379999,COMUNICACION CELULAR S.A.
6010380000,6010399999,COMUNICACION CELULAR S.A.
6010400000,6010409999,COMUNICACION CELULAR S.A.
6010431900,6010441999,COMUNICACION CELULAR S.A.
6011111000,6011112999,TELSOCOMM COLOMBIA S.A.S
6012000000,6012000999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012001000,6012001199,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012001200,6012001999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012002000,6012002799,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012002800,6012002999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012003000,6012003999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012004000,6012007099,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012007100,6012007999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012008000,6012008999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012009000,6012009999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012010000,6012010199,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012010200,6012011999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012012000,6012012999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012013000,6012013999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012014000,6012016799,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012016800,6012019999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012020000,6012020999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012021000,6012022999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012023000,6012024999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012025000,6012029999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012030000,6012031999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012032000,6012034999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012035000,6012035299,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012035300,6012035999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012036000,6012036999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012037000,6012037999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012038000,6012039999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012040000,6012041999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012042000,6012045599,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012045600,6012048999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012049000,6012049399,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012049400,6012049999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012050000,6012050499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012050500,6012055499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012055500,6012055999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012056000,6012057499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012057500,6012058999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012059000,6012062999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012063000,6012065999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012066000,6012066999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012067000,6012067999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012068000,6012068999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012069000,6012073999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012074000,6012074999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012075000,6012076999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012077000,6012077999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012078000,6012078999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
